timestamp,vessel_count,vessel_avg_speed
2025-08-22 18:36:00,5885,2.636262
2025-08-22 18:39:00,5897,2.624707
2025-08-22 18:42:00,5329,2.604579
2025-08-22 18:45:00,5909,2.597563
2025-08-22 18:48:00,5668,2.587703
2025-08-22 18:51:00,5730,2.651623
2025-08-22 18:54:00,5660,2.832420
2025-08-22 18:57:00,5773,2.659917
2025-08-22 19:00:00,5806,2.805425
2025-08-22 19:03:00,6107,2.977747
2025-08-22 19:06:00,5281,2.966559
2025-08-22 19:09:00,5971,3.030682
2025-08-22 19:12:00,6789,3.126322
2025-08-22 19:15:00,5388,2.947290
2025-08-22 19:18:00,6159,2.964848
2025-08-22 19:21:00,5415,3.019077
2025-08-22 19:24:00,5750,3.034052
2025-08-22 19:27:00,6566,2.964651
2025-08-22 19:30:00,5682,2.946146
2025-08-22 19:33:00,4919,2.837853
2025-08-22 19:36:00,6629,2.895927
2025-08-22 19:39:00,5701,2.831451
2025-08-22 19:42:00,6244,2.968610
2025-08-22 19:45:00,5955,2.988111
2025-08-22 19:48:00,5458,2.802822
2025-08-22 19:51:00,5434,2.753625
2025-08-22 19:54:00,5209,2.867479
2025-08-22 19:57:00,5960,2.824262
2025-08-22 20:00:00,5829,2.935392
2025-08-22 20:03:00,5789,2.827932
2025-08-22 20:06:00,6358,3.099685
2025-08-22 20:09:00,6127,3.092068
2025-08-22 20:12:00,6223,3.055102
2025-08-22 20:15:00,6026,3.157401
2025-08-22 20:18:00,5947,3.249689
2025-08-22 20:21:00,5523,3.108329
2025-08-22 20:24:00,6051,3.157098
2025-08-22 20:27:00,6007,3.179590
2025-08-22 20:30:00,5526,3.389848
2025-08-22 20:33:00,5437,3.290859
2025-08-22 20:36:00,5630,3.260160
2025-08-22 20:39:00,5205,3.314966
2025-08-22 20:42:00,5861,3.351681
2025-08-22 20:45:00,6611,3.134579
2025-08-22 20:48:00,6709,3.124668
2025-08-22 20:51:00,6970,3.144562
2025-08-22 20:54:00,7384,3.080051
2025-08-22 20:57:00,6473,3.048169
2025-08-22 21:00:00,7015,3.008596
2025-08-22 21:03:00,6527,3.115398
2025-08-22 21:06:00,6763,3.054902
2025-08-22 21:09:00,6866,3.226580
2025-08-22 21:12:00,7025,3.168897
2025-08-22 21:15:00,5975,3.135079
2025-08-22 21:18:00,6349,3.317231
2025-08-22 21:21:00,6981,3.246970
2025-08-22 21:24:00,6201,3.420739
2025-08-22 21:27:00,6333,3.377262
2025-08-22 21:30:00,6398,3.247093
2025-08-22 21:33:00,6032,3.162351
2025-08-22 21:36:00,5452,3.113225
2025-08-22 21:39:00,5506,3.228278
2025-08-22 21:42:00,5737,3.075684
2025-08-22 21:45:00,5385,3.227484
2025-08-22 21:48:00,5422,3.088067
2025-08-22 21:51:00,5237,3.041340
2025-08-22 21:54:00,4996,3.136149
2025-08-22 21:57:00,4843,3.044291
2025-08-22 22:00:00,4706,3.143519
2025-08-22 22:03:00,4831,3.022915
2025-08-22 22:06:00,4829,3.130068
2025-08-22 22:09:00,4423,3.348429
2025-08-22 22:12:00,4895,3.330439
2025-08-22 22:15:00,4577,3.193052
2025-08-22 22:18:00,4946,3.224100
2025-08-22 22:21:00,4577,3.102731
2025-08-22 22:24:00,4467,3.227916
2025-08-22 22:27:00,4737,3.177159
2025-08-22 22:30:00,4447,3.147515
2025-08-22 22:33:00,4564,3.229470
2025-08-22 22:36:00,3964,3.113875
2025-08-22 22:39:00,4548,3.142788
2025-08-22 22:42:00,4380,3.118470
2025-08-22 22:45:00,4405,3.317821
2025-08-22 22:48:00,4358,3.334167
2025-08-22 22:51:00,4271,3.203746
2025-08-22 22:54:00,4513,3.166231
2025-08-22 22:57:00,4334,3.215136
2025-08-22 23:00:00,4498,3.201578
2025-08-22 23:03:00,4472,3.263417
2025-08-22 23:06:00,4538,3.236029
2025-08-22 23:09:00,4163,3.206702
2025-08-22 23:12:00,4389,3.229209
2025-08-22 23:15:00,4656,3.216473
2025-08-22 23:18:00,4506,3.202130
2025-08-22 23:21:00,4376,3.099497
2025-08-22 23:24:00,4528,3.487831
2025-08-22 23:27:00,4549,3.293317
2025-08-22 23:30:00,4588,3.296338
2025-08-22 23:33:00,4307,3.302206
2025-08-22 23:36:00,4422,3.278562
2025-08-22 23:39:00,4265,3.175358
2025-08-22 23:42:00,4424,3.180425
2025-08-22 23:45:00,2747,3.130360
2025-08-22 23:48:00,5967,2.932294
2025-08-22 23:51:00,4607,3.071478
2025-08-22 23:54:00,4439,3.154427
2025-08-22 23:57:00,4540,3.180617
2025-08-23 00:00:00,4718,3.234930
2025-08-23 00:03:00,4566,3.179304
2025-08-23 00:06:00,4693,3.320328
2025-08-23 00:09:00,4537,3.173926
2025-08-23 00:12:00,4625,3.133968
2025-08-23 00:15:00,4446,3.161381
2025-08-23 00:18:00,4296,3.102980
2025-08-23 00:21:00,4411,3.145092
2025-08-23 00:24:00,4261,3.031589
2025-08-23 00:27:00,4179,3.277387
2025-08-23 00:30:00,4007,3.010357
2025-08-23 00:33:00,4117,2.968739
2025-08-23 00:36:00,4492,3.024577
2025-08-23 00:39:00,4385,3.115986
2025-08-23 00:42:00,3532,3.049037
2025-08-23 00:45:00,4698,3.140336
2025-08-23 00:48:00,4215,3.020546
2025-08-23 00:51:00,4362,3.037689
2025-08-23 00:54:00,3950,2.978658
2025-08-23 00:57:00,4044,2.934125
2025-08-23 01:00:00,2643,2.874612
2025-08-23 01:03:00,5211,2.971541
2025-08-23 01:06:00,4078,2.929769
2025-08-23 01:09:00,4213,2.889509
2025-08-23 01:12:00,3932,2.826806
2025-08-23 01:15:00,4038,2.983631
2025-08-23 01:18:00,4267,3.008484
2025-08-23 01:21:00,4289,2.952553
2025-08-23 01:24:00,4340,3.152051
2025-08-23 01:27:00,3960,3.053662
2025-08-23 01:30:00,4475,2.985050
2025-08-23 01:33:00,4373,2.951566
2025-08-23 01:36:00,4272,2.990684
2025-08-23 01:39:00,4111,3.042885
2025-08-23 01:42:00,3964,3.148688
2025-08-23 01:45:00,4042,3.109104
2025-08-23 01:48:00,4214,2.988728
2025-08-23 01:51:00,3783,2.958736
2025-08-23 01:54:00,4142,3.129744
2025-08-23 01:57:00,3970,3.088892
2025-08-23 02:00:00,3916,2.982559
2025-08-23 02:03:00,3822,2.857405
2025-08-23 02:06:00,4041,2.849963
2025-08-23 02:09:00,3653,2.885136
2025-08-23 02:12:00,3762,2.932243
2025-08-23 02:15:00,3661,2.879186
2025-08-23 02:18:00,3687,2.932682
